nom_boutique,adresse,ville,code_postal,departement,latitude,longitude,responsable
Free shop 17 _ 38,"CC Carrefour ,ZA de Beaulieu",Puilboreau,17138,Charente-Maritime,46.17372,-1.11774,3
Free shop 79 _ 39,26 Rue Victor Hugo,Niort,79000,Deux-Sèvres,46.32487,-0.46229,3
Free shop 85 _ 40,12 Rue Georges Clémenceau,Fontenay-le-Comte,85200,Vendée,46.4663,-0.8067,1
Free shop 79 _ 41,38 Rue Jean Jaurès,Parthenay,79200,Deux-Sèvres,46.6481,-0.24949,1
Free shop 79 _ 42,23 Rue de la Huchette,Bressuire,79300,Deux-Sèvres,46.83925,-0.49274,1
Free shop 85 _ 43,17 Rue de l’Eglise,Les Herbiers,85500,Vendée,46.87096,-1.01455,1
Free shop 49 _ 44,"CC Géant ,Route des Sables d’O.",Cholet,49300,Maine-et-Loire,47.04227,-0.90116,1
Free shop 49 _ 45,Place Alexis Guérineau,Cholet,49300,Maine-et-Loire,47.06253,-0.87739,1
Free shop 49 _ 46,35 Rue du Portail Louis,Saumur,49400,Maine-et-Loire,47.25827,-0.07864,1
Free shop 49 _ 47,"CC Espace Anjou ,75 Rue Montaigne",Angers,49100,Maine-et-Loire,47.46725,-0.52473,1
Free shop 49 _ 48,CC Carrefour Grand-Maine,Angers,49000,Maine-et-Loire,47.46833,-0.59538,1
Free shop 49 _ 49,"CC Fleur d’Eau ,Rue Plantagenêt",Angers,49100,Maine-et-Loire,47.47214,-0.55445,1
Free shop 49 _ 50,10 bis Rue Lenepveu,Angers,49100,Maine-et-Loire,47.47277,-0.55046,1
Free shop 49 _ 51,CC Carrefour Saint-Serge,Angers,49100,Maine-et-Loire,47.4891,-0.54232,1
Free shop 72 _ 52,28 Grande-Rue,La Flèche,72200,Sarthe,47.69941,-0.07385,1
Free shop 29 _ 53,CC Carrefour Iroise,Brest,29200,Finistère,48.38848,-4.52669,1
Free shop 29 _ 54,64 Rue de Siam,Brest,29200,Finistère,48.38817,-4.48905,1
Free shop 29 _ 55,95 Rue de Siam,Brest,29200,Finistère,48.38911,-4.4877,1
Free shop 29 _ 56,Rue Dupleix,Brest,29200,Finistère,48.3928,-4.48241,1
Free shop 29 _ 57,Rue Jean Jaurès,Brest,29200,Finistère,48.39294,-4.48174,1
Free shop 29 _ 58,"CC Géant ,29 Route Gouesnou",Brest,29200,Finistère,48.4076,-4.46627,1
Free shop 29 _ 59,25 Rue Voltaire,Douarnenez,29100,Finistère,48.09396,-4.32743,1
Free shop 29 _ 60,1 Rue de Jérusalem,Lesneven,29260,Finistère,48.57334,-4.32301,3
Free shop 29 _ 61,6 Rue de la Tour d'Auvergne,Landerneau,29800,Finistère,48.4514,-4.24799,3
